username,followers,avg_likes,eng_rate_computed,tier,cluster,cluster_label,roi_score,score_grade,country,follower_range,engagement_tier,followers_M,score_grade_clean,roi_rank
leonardodicaprio,54600000.0,395500.0,0.7243589743589743,Super Mega (50M–100M),0,⚡ Power Influencer,32.7,🥉 Tier C — Moderate,,50M–100M,Low (<2%),54.6,Tier C — Moderate,139
manchesterunited,59600000.0,381800.0,0.6406040268456376,Super Mega (50M–100M),1,🎯 Niche Player,32.61,🥉 Tier C — Moderate,United Kingdom,50M–100M,Low (<2%),59.6,Tier C — Moderate,140
jokowi,47700000.0,452600.0,0.9488469601677147,Established Mega (10M–50M),0,⚡ Power Influencer,32.35,🥉 Tier C — Moderate,,10M–50M,Low (<2%),47.7,Tier C — Moderate,141
raffinagita1717,63500000.0,386900.0,0.6092913385826771,Super Mega (50M–100M),1,🎯 Niche Player,32.28,🥉 Tier C — Moderate,Indonesia,50M–100M,Low (<2%),63.5,Tier C — Moderate,142
teddysphotos,39900000.0,715500.0,1.7932330827067668,Established Mega (10M–50M),0,⚡ Power Influencer,32.27,🥉 Tier C — Moderate,United States,10M–50M,Low (<2%),39.9,Tier C — Moderate,143
daddyyankee,45900000.0,652500.0,1.4215686274509804,Established Mega (10M–50M),0,⚡ Power Influencer,32.27,🥉 Tier C — Moderate,Puerto Rico,10M–50M,Low (<2%),45.9,Tier C — Moderate,143
marvelstudios,38100000.0,594200.0,1.5595800524934382,Established Mega (10M–50M),0,⚡ Power Influencer,32.11,🥉 Tier C — Moderate,,10M–50M,Low (<2%),38.1,Tier C — Moderate,145
mariliamendoncacantora,41800000.0,1000000.0,2.3923444976076556,Established Mega (10M–50M),0,⚡ Power Influencer,32.0,🥉 Tier C — Moderate,Brazil,10M–50M,Medium (2–5%),41.8,Tier C — Moderate,146
nikefootball,45400000.0,431200.0,0.9497797356828196,Established Mega (10M–50M),0,⚡ Power Influencer,31.9,🥉 Tier C — Moderate,United States,10M–50M,Low (<2%),45.4,Tier C — Moderate,147
toni.kr8s,34700000.0,597200.0,1.7210374639769452,Established Mega (10M–50M),0,⚡ Power Influencer,31.79,🥉 Tier C — Moderate,,10M–50M,Low (<2%),34.7,Tier C — Moderate,148
marinaruybarbosa,40700000.0,586400.0,1.4407862407862408,Established Mega (10M–50M),0,⚡ Power Influencer,31.58,🥉 Tier C — Moderate,Brazil,10M–50M,Low (<2%),40.7,Tier C — Moderate,149
snoopdogg,75300000.0,203700.0,0.2705179282868525,Super Mega (50M–100M),1,🎯 Niche Player,31.54,🥉 Tier C — Moderate,,50M–100M,Low (<2%),75.3,Tier C — Moderate,150
parineetichopra,37400000.0,505700.0,1.3521390374331552,Established Mega (10M–50M),0,⚡ Power Influencer,31.52,🥉 Tier C — Moderate,,10M–50M,Low (<2%),37.4,Tier C — Moderate,151
natashawilona12,39200000.0,486500.0,1.2410714285714286,Established Mega (10M–50M),0,⚡ Power Influencer,31.51,🥉 Tier C — Moderate,,10M–50M,Low (<2%),39.2,Tier C — Moderate,152
marvel,66200000.0,332300.0,0.501963746223565,Super Mega (50M–100M),1,🎯 Niche Player,31.47,🥉 Tier C — Moderate,Turkey,50M–100M,Low (<2%),66.2,Tier C — Moderate,153
prillylatuconsina96,48900000.0,372400.0,0.7615541922290389,Established Mega (10M–50M),1,🎯 Niche Player,31.2,🥉 Tier C — Moderate,Indonesia,10M–50M,Low (<2%),48.9,Tier C — Moderate,154
sachintendulkar,35300000.0,800400.0,2.26742209631728,Established Mega (10M–50M),0,⚡ Power Influencer,31.14,🥉 Tier C — Moderate,,10M–50M,Medium (2–5%),35.3,Tier C — Moderate,155
chrissyteigen,38900000.0,623100.0,1.6017994858611824,Established Mega (10M–50M),1,🎯 Niche Player,31.04,🥉 Tier C — Moderate,United States,10M–50M,Low (<2%),38.9,Tier C — Moderate,156
nickjonas,33000000.0,719600.0,2.1806060606060607,Established Mega (10M–50M),0,⚡ Power Influencer,30.98,🥉 Tier C — Moderate,United States,10M–50M,Medium (2–5%),33.0,Tier C — Moderate,157
victoriassecret,73200000.0,147000.0,0.2008196721311475,Super Mega (50M–100M),1,🎯 Niche Player,30.81,🥉 Tier C — Moderate,United States,50M–100M,Low (<2%),73.2,Tier C — Moderate,158
britneyspears,42100000.0,513100.0,1.2187648456057008,Established Mega (10M–50M),0,⚡ Power Influencer,30.67,🥉 Tier C — Moderate,Turkey,10M–50M,Low (<2%),42.1,Tier C — Moderate,159
juventus,54500000.0,194800.0,0.3574311926605504,Super Mega (50M–100M),1,🎯 Niche Player,30.02,🥉 Tier C — Moderate,,50M–100M,Low (<2%),54.5,Tier C — Moderate,160
nickyjampr,43400000.0,381600.0,0.87926267281106,Established Mega (10M–50M),1,🎯 Niche Player,29.71,🥉 Tier C — Moderate,Colombia,10M–50M,Low (<2%),43.4,Tier C — Moderate,161
krisjenner,49700000.0,356800.0,0.717907444668008,Established Mega (10M–50M),1,🎯 Niche Player,29.68,🥉 Tier C — Moderate,United States,10M–50M,Low (<2%),49.7,Tier C — Moderate,162
paollaoliveirareal,34700000.0,367800.0,1.059942363112392,Established Mega (10M–50M),1,🎯 Niche Player,29.59,🥉 Tier C — Moderate,,10M–50M,Low (<2%),34.7,Tier C — Moderate,163
wizkhalifa,38700000.0,398700.0,1.0302325581395348,Established Mega (10M–50M),0,⚡ Power Influencer,29.05,🥉 Tier C — Moderate,United States,10M–50M,Low (<2%),38.7,Tier C — Moderate,164
gusttavolima,43900000.0,475100.0,1.0822323462414578,Established Mega (10M–50M),1,🎯 Niche Player,29.05,🥉 Tier C — Moderate,Brazil,10M–50M,Low (<2%),43.9,Tier C — Moderate,164
andresiniesta8,40000000.0,250800.0,0.627,Established Mega (10M–50M),0,⚡ Power Influencer,28.82,🥉 Tier C — Moderate,Spain,10M–50M,Low (<2%),40.0,Tier C — Moderate,166
nancyajram,33200000.000000004,390400.0,1.1759036144578312,Established Mega (10M–50M),1,🎯 Niche Player,28.64,🥉 Tier C — Moderate,France,10M–50M,Low (<2%),33.2,Tier C — Moderate,167
ayutingting92,52400000.0,147300.0,0.2811068702290076,Super Mega (50M–100M),1,🎯 Niche Player,27.98,🥉 Tier C — Moderate,Indonesia,50M–100M,Low (<2%),52.4,Tier C — Moderate,168
hudabeauty,50800000.0,186400.0,0.3669291338582677,Super Mega (50M–100M),1,🎯 Niche Player,27.71,🥉 Tier C — Moderate,United States,50M–100M,Low (<2%),50.8,Tier C — Moderate,169
iambeckyg,33200000.000000004,623800.0,1.8789156626506025,Established Mega (10M–50M),0,⚡ Power Influencer,27.67,🥉 Tier C — Moderate,United States,10M–50M,Low (<2%),33.2,Tier C — Moderate,170
5-Minute Crafts GIRLY,46500000.0,157000.0,0.3376344086021505,Established Mega (10M–50M),1,🎯 Niche Player,27.61,🥉 Tier C — Moderate,United States,10M–50M,Low (<2%),46.5,Tier C — Moderate,171
ivetesangalo,34800000.0,226400.0,0.6505747126436782,Established Mega (10M–50M),1,🎯 Niche Player,27.34,🥉 Tier C — Moderate,Brazil,10M–50M,Low (<2%),34.8,Tier C — Moderate,172
natgeotravel,45800000.0,189900.0,0.4146288209606987,Established Mega (10M–50M),1,🎯 Niche Player,27.26,🥉 Tier C — Moderate,United States,10M–50M,Low (<2%),45.8,Tier C — Moderate,173
gucci,49000000.0,115100.0,0.2348979591836734,Established Mega (10M–50M),1,🎯 Niche Player,27.0,🥉 Tier C — Moderate,Italy,10M–50M,Low (<2%),49.0,Tier C — Moderate,174
wesleysafadao,37400000.0,256100.00000000003,0.6847593582887701,Established Mega (10M–50M),1,🎯 Niche Player,26.83,🥉 Tier C — Moderate,,10M–50M,Low (<2%),37.4,Tier C — Moderate,175
liverpoolfc,39900000.0,346700.0,0.8689223057644111,Established Mega (10M–50M),1,🎯 Niche Player,26.76,🥉 Tier C — Moderate,United Kingdom,10M–50M,Low (<2%),39.9,Tier C — Moderate,176
gisel_la,36500000.0,150500.0,0.4123287671232876,Established Mega (10M–50M),1,🎯 Niche Player,26.19,🥉 Tier C — Moderate,,10M–50M,Low (<2%),36.5,Tier C — Moderate,177
simonemendes,35000000.0,420000.0,1.2,Established Mega (10M–50M),1,🎯 Niche Player,26.06,🥉 Tier C — Moderate,Brazil,10M–50M,Low (<2%),35.0,Tier C — Moderate,178
louisvuitton,48700000.0,127500.0,0.2618069815195072,Established Mega (10M–50M),1,🎯 Niche Player,25.96,🥉 Tier C — Moderate,France,10M–50M,Low (<2%),48.7,Tier C — Moderate,179
raisa6690,32799999.999999996,232200.0,0.7079268292682928,Established Mega (10M–50M),1,🎯 Niche Player,25.76,🥉 Tier C — Moderate,Indonesia,10M–50M,Low (<2%),32.8,Tier C — Moderate,180
bmw,33700000.0,231300.0,0.6863501483679525,Established Mega (10M–50M),1,🎯 Niche Player,25.52,🥉 Tier C — Moderate,Germany,10M–50M,Low (<2%),33.7,Tier C — Moderate,181
khabib_nurmagomedov,33500000.0,685100.0,2.045074626865672,Established Mega (10M–50M),4,💬 Engagement King,25.44,🥉 Tier C — Moderate,Russia,10M–50M,Medium (2–5%),33.5,Tier C — Moderate,182
lunamaya,34800000.0,145400.0,0.417816091954023,Established Mega (10M–50M),1,🎯 Niche Player,25.09,🥉 Tier C — Moderate,,10M–50M,Low (<2%),34.8,Tier C — Moderate,183
dior,41500000.0,88800.0,0.2139759036144578,Established Mega (10M–50M),1,🎯 Niche Player,24.74,⚪ Tier D — Low,,10M–50M,Low (<2%),41.5,Tier D — Low,184
adidasoriginals,34200000.0,136200.0,0.3982456140350877,Established Mega (10M–50M),0,⚡ Power Influencer,24.74,⚪ Tier D — Low,,10M–50M,Low (<2%),34.2,Tier D — Low,184
sonamkapoor,33299999.999999996,264700.0,0.794894894894895,Established Mega (10M–50M),1,🎯 Niche Player,24.67,⚪ Tier D — Low,India,10M–50M,Low (<2%),33.3,Tier D — Low,186
luansantana,33200000.000000004,193300.0,0.5822289156626506,Established Mega (10M–50M),0,⚡ Power Influencer,24.66,⚪ Tier D — Low,Brazil,10M–50M,Low (<2%),33.2,Tier D — Low,187
mercedesbenz,36000000.0,197900.0,0.5497222222222222,Established Mega (10M–50M),1,🎯 Niche Player,24.46,⚪ Tier D — Low,British Virgin Islands,10M–50M,Low (<2%),36.0,Tier D — Low,188
worldstar,39200000.0,157400.0,0.4015306122448979,Established Mega (10M–50M),1,🎯 Niche Player,24.27,⚪ Tier D — Low,United States,10M–50M,Low (<2%),39.2,Tier D — Low,189
princessyahrini,40000000.0,118300.0,0.29575,Established Mega (10M–50M),1,🎯 Niche Player,24.27,⚪ Tier D — Low,Indonesia,10M–50M,Low (<2%),40.0,Tier D — Low,189
disney,34200000.0,185200.0,0.5415204678362573,Established Mega (10M–50M),1,🎯 Niche Player,23.92,⚪ Tier D — Low,United States,10M–50M,Low (<2%),34.2,Tier D — Low,191
buzzfeedtasty,43200000.0,65099.99999999999,0.1506944444444444,Established Mega (10M–50M),1,🎯 Niche Player,23.76,⚪ Tier D — Low,Spain,10M–50M,Low (<2%),43.2,Tier D — Low,192
laudyacynthiabella,36900000.0,172800.0,0.4682926829268292,Established Mega (10M–50M),0,⚡ Power Influencer,23.65,⚪ Tier D — Low,Indonesia,10M–50M,Low (<2%),36.9,Tier D — Low,193
hm,38500000.0,88400.0,0.2296103896103896,Established Mega (10M–50M),1,🎯 Niche Player,23.62,⚪ Tier D — Low,Sweden,10M–50M,Low (<2%),38.5,Tier D — Low,194
ruben_onsu,38800000.0,139300.0,0.359020618556701,Established Mega (10M–50M),1,🎯 Niche Player,22.66,⚪ Tier D — Low,Indonesia,10M–50M,Low (<2%),38.8,Tier D — Low,195
karimbenzema,56900000.0,878500.0,1.5439367311072056,Super Mega (50M–100M),4,💬 Engagement King,21.33,⚪ Tier D — Low,Spain,50M–100M,Low (<2%),56.9,Tier D — Low,196
zidane,33500000.0,1100000.0,3.2835820895522385,Established Mega (10M–50M),4,💬 Engagement King,20.89,⚪ Tier D — Low,France,10M–50M,Medium (2–5%),33.5,Tier D — Low,197
mosalah,52500000.0,1800000.0,3.428571428571429,Super Mega (50M–100M),4,💬 Engagement King,18.69,⚪ Tier D — Low,,50M–100M,Medium (2–5%),52.5,Tier D — Low,198
nattinatasha,35900000.0,518100.0,1.443175487465181,Established Mega (10M–50M),4,💬 Engagement King,18.46,⚪ Tier D — Low,Czech Republic,10M–50M,Low (<2%),35.9,Tier D — Low,199
maisa,44500000.0,553000.0,1.2426966292134831,Established Mega (10M–50M),4,💬 Engagement King,17.9,⚪ Tier D — Low,Brazil,10M–50M,Low (<2%),44.5,Tier D — Low,200
